ID,ABBREVIATION,YEARFOUNDED,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
1610612737,ATL,1949,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Nate McMillan,Erie Bayhawks
1610612738,BOS,1946,TD Garden,18624.0,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws
1610612739,CLE,1970,Rocket Mortgage FieldHouse,20562.0,Dan Gilbert,Koby Altman,JB Bickerstaff,Canton Charge
1610612740,NOP,2002,Smoothie King Center,,Tom Benson,Trajan Langdon,Stan Van Gundy,No Affiliate
1610612741,CHI,1966,United Center,21711.0,Jerry Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls
1610612742,DAL,1980,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends
1610612743,DEN,1976,Ball Arena,,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate
1610612744,GSW,1946,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors
1610612745,HOU,1967,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Stephen Silas,Rio Grande Valley Vipers
1610612746,LAC,1970,STAPLES Center,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario
1610612747,LAL,1948,STAPLES Center,19060.0,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,South Bay Lakers
1610612748,MIA,1988,AmericanAirlines Arena,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce
1610612749,MIL,1968,Fiserv Forum,17500.0,Wesley Edens &Â Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd
1610612750,MIN,1989,Target Center,19356.0,Glen Taylor,Scott Layden,Chris Finch,Iowa Wolves
1610612751,BKN,1976,Barclays Center,,Joe Tsai,Sean Marks,Steve Nash,Long Island Nets
1610612752,NYK,1946,Madison Square Garden,19763.0,Cablevision (James Dolan),Leon Rose,Tom Thibodeau,Westchester Knicks
1610612753,ORL,1989,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic
1610612754,IND,1976,Bankers Life Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Nate Bjorkgren,Fort Wayne Mad Ants
1610612755,PHI,1949,Wells Fargo Center,,Joshua Harris,Elton Brand,Doc Rivers,Delaware Blue Coats
1610612756,PHX,1968,Phoenix Suns Arena,,Robert Sarver,James Jones,Monty Williams,Northern Arizona Suns
1610612757,POR,1970,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate
1610612758,SAC,1948,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Luke Walton,Stockton Kings
1610612759,SAS,1976,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs
1610612760,OKC,1967,Chesapeake Energy Arena,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue
1610612761,TOR,1995,Amalie Arena,,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905
1610612762,UTA,1974,Vivint Arena,,Ryan Smith,Dennis Lindsey,Quin Snyder,Salt Lake City Stars
1610612763,MEM,1995,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle
1610612764,WAS,1961,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Scott Brooks,Capital City Go-Go
1610612765,DET,1948,Little Caesars Arena,,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive
1610612766,CHA,1988,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm
